,Topic,Count,Name,Representation,Representative_Docs
0,-1,917288,-1_just_like_people_trump,"['just', 'like', 'people', 'trump', 'dont', 'know', 'time', 'think', 'good', 'right']","[""it seems strange that almost everyone here is playing the blame game in one way or another instead of committing such a foolish mistake which is exactly what all politicians want try focusing on this one fact million americans are shelling out from their paychecks trillion dollars a year to run all levels of government or we are borrowing from other governments or just printing the difference ask yourself the question how long can we sustain that the next time you fall in love with a political candidate and send them what few dollars you have left try to make a wise decision on who you support don't listen to what they say look at what they've done"", 'wow people as we see the start of a new week we get the bad new that california will not cooperate with the election integrity commission and what we were just showed there is a bit of voter fraud going on ya i knew there was no way that there could have been that many silly people there that would vote for more taxes no free speech anti gun more illegals less work more violence more laws less cops blood in the streets support of terror groups like antifa muslim brotherhood and blm to name a few tpp and nafta pay for play cheaters more corruption open boarders less freedom and so much more is what clinton was offering omg every week we see just how right trump was and is some thing really needs to change and starting with drain the swamp of corruption and prosecute every one that brakes the laws for corruption', ""bernie would have won if he didn't let her of the hook for her server thinking it would make people love him commie beta male got his mic stolen by blm and had the dnc working against him he's really mad and will not be happy until some low level staffer gets all the blame cause he's a fraud looking for a job from wall street hillary they'll probably blame that dnc guy that was murdered about two weeks ago""]"
1,0,110408,0_truth_like_dont_lol,"['truth', 'like', 'dont', 'lol', 'just', 'good', 'know', 'hes', 'stupid', 'im']","['lol i got up early this morning b c i knew these came out last night and today was gonna be good', ""oh yes let's do that for the children s"", 'hard to believe but it seems he really is that stupid']"
2,1,91048,1_shes_hillary_woman_shell,"['shes', 'hillary', 'woman', 'shell', 'lady', 'like', 'looks', 'just', 'did', 'does']","[""hillary was kissy face with klan member bob byrd hillary gave a speech calling black people super predators hillary and the mayor of ny say being late is colored people's time hillary bans black lies matter from her rally hillary thinks black people are dupes and tricks them to get their vote"", 'does hillary know about this lol', 'dang shes as fake as hillary']"
3,2,85812,2_fbi_obama_trump_president,"['fbi', 'obama', 'trump', 'president', 'maga', 'cia', 'dnc', 'donald', 'trumps', 'obamas']","['my president', 'was that under obama', 'trump now more than ever']"
4,3,41222,3_election_ballots_democrats_fraud,"['election', 'ballots', 'democrats', 'fraud', 'dems', 'vote', 'votes', 'voter', 'voting', 'elections']","['election time', 'democrat fraud', ""drop boxes were never the problem this is just a distraction the problem is allowing mail in ballots without a valid reason that the person cannot go to the polls and vote in person the ballot mules will just drop hands full of ballots in the nearest us mail drop box and it will all be perfectly legal and will still result in a stolen election we must do away with absentee ballots completely if you cannot go to the local voting station and vote in person then you just don't vote that election voting is a privilege not a right and if you aren't willing to put forth a little effort for the good of this great nation then you don't deserve that privilege""]"
5,4,26047,4_muslim_muslims_islam_isis,"['muslim', 'muslims', 'islam', 'isis', 'iran', 'islamic', 'religion', 'iranian', 'terrorist', 'obama']","['but he does do muslim', 'read learn understand resist dammit by dr peter hammond frontpagemagazine com monday april note numbers as of the following is adapted from dr peter hammond s book slavery terrorism and islam the historical roots and contemporary threat islam is not a religion nor is it a cult it is a complete system islam has religious legal political economic and military components the religious component is a beard for all the other components islamization occurs when there are sufficient muslims in a country to agitate for their so called religious rights when politically correct and culturally diverse societies agree to the reasonable muslim demands for their religious rights they also get the other components under the table here s how it works percentages source cia the world fact book as long as the muslim population remains around of any given country they will be regarded as a peace loving minority and not as a threat to anyone in fact they may be featured in articles and films stereotyped for their colorful uniqueness united states muslim australia muslim canada muslim china muslim italy muslim norway muslim at and they begin to proselytize from other ethnic minorities and disaffected groups with major recruiting from the jails and among street gangs denmark muslim germany muslim united kingdom muslim spain muslim thailand muslim from on they exercise an inordinate influence in proportion to their percentage of the population they will push for the introduction of halal clean by islamic standards food thereby securing food preparation jobs for muslims they will increase pressure on supermarket chains to feature it on their shelves along with threats for failure to comply united states france muslim philippines muslim sweden muslim switzerland muslim the netherlands muslim trinidad tobago muslim at this point they will work to get the ruling government to allow them to rule themselves under sharia the islamic law the ultimate goal of islam is not to convert the world but to establish sharia law over the entire world when muslims reach of the population they will increase lawlessness as a means of complaint about their conditions paris car burnings any non muslim action that offends islam will result in uprisings and threats amsterdam mohammed cartoons guyana muslim india muslim israel muslim kenya muslim russia muslim after reaching expect hair trigger rioting jihad militia formations sporadic killings and church and synagogue burning ethiopia muslim at you will find widespread massacres chronic terror attacks and ongoing militia warfare bosnia muslim chad muslim lebanon muslim from you may expect unfettered persecution of non believers and other religions sporadic ethnic cleansing genocide use of sharia law as a weapon and jizya the tax placed on infidels albania muslim malaysia muslim qatar muslim sudan muslim after expect state run ethnic cleansing and genocide bangladesh muslim egypt muslim gaza muslim indonesia muslim iran muslim iraq muslim jordan muslim morocco muslim pakistan muslim palestine muslim syria muslim tajikistan muslim turkey muslim united arab emirates muslim will usher in the peace of dar es salaam the islamic house of peace there s supposed to be peace because everybody is a muslim afghanistan muslim saudi arabia muslim somalia muslim yemen muslim of course that s not the case to satisfy their blood lust muslims then start killing each other for a variety of reasons before i was nine i had learned the basic canon of arab life it was me against my brother me and my brother against our father my family against my cousins and the clan the clan against the tribe and the tribe against the world and all of us against the infidel leon uris the haj it is good to remember that in many many countries such as france the muslim populations are centered around ghettos based on their ethnicity muslims do not integrate into the community at large therefore they exercise more power than their national average would indicate final thought in the bible god prophesied that ishmael and his descendants would be wild and fight with everyone this prediction has held true throughout history will the world ever have peace with ishmael will ishmael even find peace himself deep down don t we all want the same things love peace acceptance i wonder how much longer we will have to wait before real peace comes to humanity gen and the angel of the lord said unto her behold thou art with child and shalt bear a son and shalt call his name ishmael because the lord hath heard thy affliction gen and he will be a wild man his hand will be against every man and every man s hand against him and he shall dwell in the presence of all his brethren', 'he is a good muslim now']"
6,5,25997,5_patriots_amendment_america_country,"['patriots', 'amendment', 'america', 'country', 'government', 'constitution', 'americans', 'patriot', 'law', 'freedom']","['you can count the number of america first patriots in dc on one hand', 'you had better be ready to use your second amendment rights', 'better vote these people out of office and get some patriots in there']"
7,6,25155,6_black_white_blacks_racist,"['black', 'white', 'blacks', 'racist', 'racism', 'whites', 'race', 'color', 'racists', 'hate']","['if he were white everyone would know who it is', 'trump is white get over it', 'does he believe all white people are white supremacists and black people cannot be racist bet he does']"
8,7,23586,7_biden_bidens_joe_president,"['biden', 'bidens', 'joe', 'president', 'administration', 'trump', 'hes', 'family', 'dementia', 'regime']","['may as well gave it to joe biden', 'they do it because they know biden will do nothing', 'this is all on biden']"
9,8,23200,8_cnn_media_news_fake,"['cnn', 'media', 'news', 'fake', 'press', 'propaganda', 'journalists', 'msnbc', 'journalism', 'reporters']","['cnn does', 'go back to cnn', 'is that you cnn']"
10,9,19028,9_god_jesus_satan_pray,"['god', 'jesus', 'satan', 'pray', 'lord', 'christ', 'evil', 'bible', 'shall', 'gods']","[""i pray that god will protect save and help president trump and give him a victory over this and i pray as the bible says let god arise may god enemies be scattered in jesus'holy name amen"", 'everyone get right with god now while you still can', 'but god']"
