post_idx,target,stance,stance_type,explanation
700162633,Republicans (GOP),AGAINST,IMPLICIT,I agree with the following: the conservative influence in Orange County is decreasing.
700162633,Democrats,FAVOR,IMPLICIT,"I agree with the following: liberals are moving into Orange County in high numbers, which implies a shift towards more liberal or Democratic tendencies."
978198733,Social welfare,AGAINST,EXPLICIT,"I agree with the following: those who have never collected any type of welfare should be given a temporary work permit, implying that social welfare is not desirable."
978198733,Immigration / immigrants,AGAINST,EXPLICIT,"I agree with the following: most immigrants should be sent back, and only those who meet specific criteria should be given a temporary work permit, implying a restrictive stance on immigration."
1062674649,Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: the GOP is being criticized for being unfeeling and unresponsive, implying they are like robots."
1062674649,Democrats,AGAINST,EXPLICIT,"I agree with the following: some government officials, specifically Democrats like Reid and Pelosi, are criticized for not contributing positively to the country and are called 'jesters'."
1062674649,Black people,AGAINST,EXPLICIT,"I agree with the following: the black community is criticized for electing the US Representative, implying a negative opinion of the community."
1062674649,Politicians,AGAINST,EXPLICIT,I agree with the following: some government officials are criticized for not contributing positively to the country and are called 'jesters' and 'fools'.
1213563404,Government spending,AGAINST,EXPLICIT,I agree with the following: the government's spending on medical care for illegal aliens is unjust and burdensome for taxpayers.
1213563404,Social welfare,AGAINST,EXPLICIT,I agree with the following: social welfare programs that provide free medical care to illegal aliens are unfair to hardworking taxpayers.
1213563404,Healthcare / Medicare,AGAINST,EXPLICIT,I agree with the following: the current healthcare system that provides free medical care to illegal aliens is unfair and abusive.
1213563404,Immigration / immigrants,AGAINST,EXPLICIT,I agree with the following: illegal immigration is a burden on the healthcare system and taxpayers.
1213563404,Democrats,AGAINST,IMPLICIT,I agree with the following: politicians who support providing free medical care to illegal aliens are misguided.
1213563404,Taxes are fair,AGAINST,EXPLICIT,I agree with the following: the tax system is unfair because it forces hardworking taxpayers to pay for the medical care of illegal aliens.
1213563404,Politicians,AGAINST,EXPLICIT,I agree with the following: politicians who support providing free medical care to illegal aliens are irresponsible and prioritize the wrong groups.
1427617310,Immigration / immigrants,AGAINST,EXPLICIT,I agree with the following: the influx of immigrants should be stopped by the President.
1427617310,Media,AGAINST,EXPLICIT,I agree with the following: the media is corrupt and will be silent about the issues caused by the President's actions.
1427617310,Barack Obama,AGAINST,EXPLICIT,I agree with the following: President Obama is responsible for the massive invasion and is intentionally creating chaos by not stopping it.
1452368501,Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: Republicans, such as McCain, McConnell, and Rubio, are responsible for the issue of illegal immigrants."
1452368501,Immigration / immigrants,AGAINST,EXPLICIT,"I agree with the following: Illegal immigrants are a problem and those who support them, including senators and congressmen, are to blame."
1452368501,Democrats,AGAINST,EXPLICIT,"I agree with the following: Democrats, such as Obama, Reid, Pelosi, and Gutierrez, are responsible for the issue of illegal immigrants."
1452368501,Elites,AGAINST,EXPLICIT,"I agree with the following: Elites, including business owners like Zuckerberg, Bloomberg, and Gates, are to blame for the issue of illegal immigrants."
1452368501,Media,AGAINST,EXPLICIT,I agree with the following: The media is complicit in the issue of illegal immigrants and is being manipulated by those in power.
1452368501,Politicians,AGAINST,EXPLICIT,"I agree with the following: Politicians, including Obama, Reid, Boehner, and Pelosi, are responsible for the issue of illegal immigrants."
1452368501,Barack Obama,AGAINST,EXPLICIT,I agree with the following: Barack Obama is responsible for the issue of illegal immigrants and is being supported by Hollywood celebrities and other elites.
1478185050,Immigration / immigrants,AGAINST,EXPLICIT,I agree with the following: immigrants should be sent home after being given aid.
2423543776,Woke,AGAINST,IMPLICIT,I agree with the following: the Black Lives Matter and Socialist/Communist Democrats' agenda is a threat to traditional American values.
2423543776,Social welfare,AGAINST,IMPLICIT,"I agree with the following: the Black Lives Matter and Socialist/Communist Democrats' agenda, which may include social welfare policies, is a threat to traditional American values."
2423543776,Democrats,AGAINST,EXPLICIT,"I agree with the following: the Democrats' agenda, specifically the Socialist/Communist Democrats, is a threat to traditional American values and white Americans."
2423543776,Black people,AGAINST,IMPLICIT,I agree with the following: the Black Lives Matter movement and its potential impact on white Americans is a threat to their safety and traditional way of life.
2465873254,Donald Trump,FAVOR,EXPLICIT,I agree with the following: Trump is the only one who has the guts to call it like it is and he's not for sale.
2465873254,Immigration / immigrants,AGAINST,EXPLICIT,I agree with the following: the issue of deporting illegals is a despicable one and should be addressed.
2465873254,Elites,AGAINST,EXPLICIT,"I agree with the following: every other candidate has been bought by big business and Wall Street, implying that elites have a negative influence."
2465873254,Politicians,AGAINST,EXPLICIT,"I agree with the following: every other candidate has been bought by big business and Wall Street, implying a negative view of politicians in general."
2480311184,Media,AGAINST,EXPLICIT,I agree with the following: Fox News is no longer a reliable news source.
2480311184,Journalists,AGAINST,EXPLICIT,I agree with the following: Sheppard is despicable.
2492682831,Media,AGAINST,EXPLICIT,"I agree with the following: the media is controlled by the government, restricting freedom of speech."
2492682831,Journalists,FAVOR,EXPLICIT,I agree with the following: journalists should have the freedom to report the truth without government interference.
2492682831,Government,AGAINST,EXPLICIT,I agree with the following: the government should not control the media or restrict freedom of speech.
2541115546,Media,AGAINST,EXPLICIT,I agree with the following: Fox News is not fair and balanced.
2550134574,Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: the GOP should not push a candidate and respect the primary outcome.
2550134574,Elites,AGAINST,EXPLICIT,"I agree with the following: the elites, referred to as 'GOPe hacks', have no right to influence the election outcome."
2550134574,Mitt Romney,AGAINST,EXPLICIT,I agree with the following: Mitt Romney should not tell voters who to vote for.
2574685977,Woke,AGAINST,IMPLICIT,"I agree with the following: left wing propaganda is misleading, implying a negative view of 'woke' ideologies."
2574685977,Donald Trump,FAVOR,IMPLICIT,"I agree with the following: the opposition to Donald Trump is based on misinformation, implying support for him."
2574685977,Immigration / immigrants,AGAINST,IMPLICIT,"I agree with the following: many people are misinformed about immigration issues, possibly due to 'left wing propaganda', suggesting a negative stance towards pro-immigration views."
2574685977,Democrats,AGAINST,IMPLICIT,"I agree with the following: left wing propaganda is misleading, implying a negative view of the Democratic party or its ideologies."
2574685977,Media,AGAINST,EXPLICIT,"I agree with the following: network television spreads left wing propaganda, indicating a negative stance towards the media."
2602531608,Donald Trump,FAVOR,EXPLICIT,"I agree with the following: the commenter is anti-GOPe candidates, including Cruz, and pro-Trump, implying a favorable stance towards Trump."
2602531608,Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: the commenter criticizes GOPe politicians for being anti-Reagan and implies that they are against Trump, indicating an unfavorable stance towards the GOP establishment."
2602531608,Elites,AGAINST,IMPLICIT,I agree with the following: the commenter uses the term 'GOPe' which implies a negative view of the Republican establishment or elites.
2639119548,Christians / Christianity,AGAINST,EXPLICIT,I agree with the following: people who use religion or faith for personal gain are phony.
2639119548,Politicians,AGAINST,EXPLICIT,"I agree with the following: people who use religion or faith for personal gain are phony, which implies that some politicians are not trustworthy."
2659301602,Donald Trump,AGAINST,EXPLICIT,I agree with the following: it is not surprising that some people are not endorsing Donald Trump.
2683228781,Jobs are available,AGAINST,EXPLICIT,I agree with the following: Hillary's policies will put workers out of work.
2683228781,Democrats,AGAINST,EXPLICIT,"I agree with the following: Democrats, specifically Hillary, have bad energy policies and unfair trade deals."
2683228781,Politicians,AGAINST,EXPLICIT,"I agree with the following: Politicians, specifically Hillary and Ed Rendell, have made bad decisions."
2713628812,Donald Trump,AGAINST,EXPLICIT,"I agree with the following: Trump is being used by others, implying a negative view of his endorsement or influence."
2713628812,Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: Ryan, a key Republican figure, is being criticized, implying a negative view of the party's actions or leadership."
2713628812,Politicians,AGAINST,EXPLICIT,"I agree with the following: Ryan is described as a 'useful idiot,' implying a negative view of his political actions or influence."
2745775857,Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: the GOP is using the speaker as a useful idiot and disrespecting Republican voters.
2745775857,Levin,AGAINST,EXPLICIT,I agree with the following: Levin is a traitor.
2787419518,The economy is good,AGAINST,EXPLICIT,"I agree with the following: the economy of California has been negatively impacted by the Democrats, as evidenced by its high debt."
