post_idx,target,stance,stance_type,explanation
978198733,Immigration / immigrants,AGAINST,EXPLICIT,"The comment states 'Everyone else should be sent back' and 'Absolutely no citizenship', indicating a negative stance towards immigration and immigrants."
978198733,Social welfare,AGAINST,EXPLICIT,"The comment states 'NEVER collected any type of welfare', indicating a negative stance towards social welfare."
1062674649,Black people,AGAINST,EXPLICIT,"The comment states 'If this black, US Representative is what the black community elected to represent them, it says a lot about them and their community', which implies a negative opinion of the black community."
1062674649,Politicians,AGAINST,EXPLICIT,"The comment refers to government officials as 'JESTERS' and 'FOOLS', indicating a negative opinion of politicians."
1062674649,Nancy Pelosi,AGAINST,EXPLICIT,"The comment mentions Nancy Pelosi as one of the government officials who 'do not contribute anything positive to improve our country and it's people', indicating a negative opinion of her."
1213563404,Immigration / immigrants,AGAINST,EXPLICIT,"The comment states 'The illegals here in California also fill hospital Emergency Rooms' and 'we ALL pay for illegal aliens' medical care', indicating a negative stance towards immigration/immigrants."
1213563404,Healthcare / Medicare,AGAINST,EXPLICIT,"The comment states 'Our politicians made sure of that! But it's free for the rest of us, hard working taxpayers. we ALL pay for illegal aliens' medical care', indicating a negative stance towards the current healthcare system."
1213563404,Politicians,AGAINST,EXPLICIT,"The comment states 'Our politicians made sure of that', indicating a negative stance towards politicians."
1213563404,Government spending,AGAINST,EXPLICIT,"The comment implies that the government is spending money on 'illegal aliens' medical care', indicating a negative stance towards government spending."
1213563404,Social welfare,AGAINST,EXPLICIT,"The comment states 'we ALL pay for illegal aliens' medical care', indicating a negative stance towards social welfare."
1427617310,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment states 'the corrupt media will be silent', indicating a negative stance towards the mainstream media."
1427617310,Journalists and the press,AGAINST,EXPLICIT,"The comment states 'the corrupt media will be silent', indicating a negative stance towards journalists and the press."
1427617310,Immigration / immigrants,AGAINST,EXPLICIT,"The comment describes the immigration of children as a 'massive invasion', indicating a negative stance towards immigration."
1427617310,Barack Obama,AGAINST,EXPLICIT,"The comment states 'Only Obama can stop this massive invasion' and 'he wants to create chaos so he can get away with anything', indicating a negative stance towards Barack Obama."
1452368501,Elites,AGAINST,EXPLICIT,"The comment mentions 'elites' implicitly by listing several high-profile individuals, including politicians and business owners, in a negative context, suggesting the commenter is against them."
1452368501,Immigration / immigrants,AGAINST,EXPLICIT,"The comment explicitly mentions 'illegals' in a negative context, suggesting the commenter is against immigration or immigrants, particularly those entering the country illegally."
1452368501,Politicians,AGAINST,EXPLICIT,"The comment lists several politicians, including Obama, Reid, Boehner, Pelosi, and others, in a negative context, suggesting the commenter is against them."
