post_idx,target,stance,stance_type,explanation
700162633,Immigration / immigrants,FAVOR,EXPLICIT,"The comment states 'liberals are moving in high numbers', which implies a positive view of immigration or demographic change."
700162633,Republicans (GOP),AGAINST,EXPLICIT,"The comment mentions that 'Most of Orange County isn't as conservative as it used to be', implying a negative view of the Republican party's conservative ideology."
700162633,Diversity (DEI),FAVOR,EXPLICIT,"The comment states 'liberals are moving in high numbers', which implies a positive view of diversity and demographic change."
978198733,Crime,AGAINST,EXPLICIT,"The comment mentions 'NEVER committed a crime' as a condition for granting a temporary work permit, indicating a negative view of crime."
978198733,Immigration / immigrants,AGAINST,EXPLICIT,"The comment suggests that 'Most Mexicans don't want to be Americans' and that they should be sent back if they don't meet certain conditions, indicating a negative view of immigration."
978198733,Social welfare,AGAINST,EXPLICIT,"The comment mentions 'NEVER collected any type of welfare' as a condition for granting a temporary work permit, indicating a negative view of social welfare."
1062674649,Elites,AGAINST,EXPLICIT,"The comment refers to government officials as 'JESTERS' and 'FOOLS', indicating a negative stance towards elites."
1062674649,Politicians,AGAINST,EXPLICIT,"The comment refers to government officials as 'JESTERS' and 'FOOLS', indicating a negative stance towards politicians."
1062674649,Democrats,AGAINST,EXPLICIT,"The comment criticizes Congresswoman Frederica Wilson, a Democrat, and refers to her and other government officials as 'JESTERS' and 'FOOLS', indicating a negative stance towards Democrats."
1062674649,Nancy Pelosi,AGAINST,EXPLICIT,"The comment mentions Nancy Pelosi as one of the government officials who 'do not contribute anything positive to improve our country and it's people', indicating a negative stance towards her."
1062674649,Black people,AGAINST,EXPLICIT,"The comment states 'If this black, US Representative is what the black community elected to represent them, it says a lot about them and their community', indicating a negative stance towards black people."
1096878956,Democrats,AGAINST,EXPLICIT,The comment mentions 'Democrats are hinting at almost $1 trillion in new taxes in the next decade' which implies a negative stance towards their policies.
1096878956,Government spending,AGAINST,EXPLICIT,The comment states 'Federal welfare spending is expected to skyrocket some 80% in the next decade. This is unsustainable within our economy' which shows a negative stance towards government spending.
1096878956,Barack Obama,AGAINST,EXPLICIT,The comment mentions 'the failed economic policies of the Obama administration' which implies a negative stance towards his policies.
1096878956,Social welfare,AGAINST,EXPLICIT,The comment states 'Welfare then becomes a way of life rather than a bridge to help those in need' which shows a negative stance towards social welfare.
1096878956,Taxes are fair,AGAINST,EXPLICIT,The comment mentions 'We can’t tax our way to prosperity' which implies a negative stance towards taxes.
1213563404,Politicians,AGAINST,EXPLICIT,The comment states 'Our politicians made sure of that!' implying that politicians are responsible for the perceived problem of illegal aliens receiving free medical care.
1213563404,Government spending,AGAINST,EXPLICIT,"The comment implies that the government is spending money on illegal aliens' medical care, which the commenter disagrees with, stating 'we ALL pay for illegal aliens' medical care!'"
1213563404,Immigration / immigrants,AGAINST,EXPLICIT,"The comment states 'The illegals here in California also fill hospital Emergency Rooms' and implies that this is a problem, indicating an anti-immigrant stance."
1213563404,Social welfare,AGAINST,EXPLICIT,"The comment implies that social welfare programs, such as free medical care for illegal aliens, are a burden on taxpayers, indicating an anti-social welfare stance."
1213563404,Healthcare / Medicare,AGAINST,EXPLICIT,"The comment implies that the current healthcare system is being taken advantage of by illegal aliens, indicating an anti-healthcare stance."
1213563404,Taxes are fair,AGAINST,EXPLICIT,The comment states 'we ALL pay for illegal aliens' medical care!' implying that the tax system is unfair.
1427617310,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment states 'the corrupt media will be silent', indicating a negative stance towards the mainstream media."
1427617310,Politicians,AGAINST,EXPLICIT,"The comment implies that Obama is not taking action to stop the invasion, indicating a negative stance towards politicians."
1427617310,Democrats,AGAINST,IMPLICIT,"The comment mentions Obama, a Democrat, in a negative light, implying a negative stance towards Democrats."
1427617310,Immigration / immigrants,AGAINST,EXPLICIT,"The comment refers to the influx of immigrants as a 'massive invasion', indicating a negative stance towards immigration."
1427617310,Barack Obama,AGAINST,EXPLICIT,"The comment states that 'Only Obama can stop this massive invasion' and implies that he is not taking action, indicating a negative stance towards Obama."
1427617310,Journalists and the press,AGAINST,EXPLICIT,"The comment refers to 'the corrupt media', indicating a negative stance towards journalists and the press."
1478185050,Immigration / immigrants,AGAINST,EXPLICIT,The comment states 'SEND THEM HOME!!!' which indicates a clear opposition to the presence of immigrants in the country.
1478185050,Food,FAVOR,EXPLICIT,"The comment mentions 'hot meals' as something that should be given to the immigrants, indicating a positive stance towards providing food."
